Date,Adj_Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,Volatility_20D,RSI,BB_Middle,BB_Upper,BB_Lower,Volume_MA_20
2025-10-12,24.185976028442383,24.314308950320694,23.939180354682765,24.185976028442383,10461996,,,,,,,,,
2025-10-13,24.413026809692383,24.432770914853272,24.19584730162712,24.19584730162712,9604888,0.9387703890179733,,,,,,,,
2025-10-14,24.432771682739258,24.659823250520866,24.41302757695784,24.41302757695784,10661047,0.08087843101469705,,,,,,,,
2025-10-15,24.64995002746582,24.66969413230996,24.42289847046264,24.43277052288471,15238207,0.8888813252406758,,,,,,,,
2025-10-16,24.97572135925293,25.133670439371247,24.630208923307585,24.630208923307585,24428940,1.3215902321267237,,,,,,,,
2025-10-19,24.83751678466797,24.936235432056314,24.778286349395596,24.936235432056314,10484652,-0.55335568729733,,,,,,,,
2025-10-20,24.738798141479492,24.857260894945938,24.699311812258404,24.8375167888846,7992024,-0.39745778148568833,,,,,,,,
2025-10-21,24.71905517578125,24.758541503816204,24.630208584075685,24.738797398347963,7062839,-0.0798056784542811,,,,,,,,
2025-10-22,25.647005081176758,25.80495415630644,24.67956652528206,24.699310630398646,41874224,3.753986140638088,,,,,,,,
2025-10-23,25.528545379638672,25.82469943827746,25.331108085278423,25.666750355949894,29079561,-0.46188512523447356,,,,,,,,
2025-10-26,25.41008186340332,25.627261374356646,25.390337757979875,25.508800507619025,7444038,-0.4640433462763438,,,,,,,,
2025-10-27,25.46931266784668,25.528544984980005,25.41008223361491,25.41008223361491,11056616,0.23309962070081625,,,,,,,,
2025-10-28,25.54828643798828,25.725979618231026,25.449569678210313,25.449569678210313,14969528,0.3100742103704368,,,,,,,,
2025-10-29,25.5877742767334,25.607518381562944,25.449569308729522,25.50879974031669,7066115,0.15456159394864333,,,,79.33888058557523,,,,
2025-10-30,25.568031311035156,25.686494062388824,25.528544982518305,25.58777541674436,16374565,-0.07715780780587211,,,,78.68858300544082,,,,
2025-11-02,25.311363220214844,25.46931229780577,25.311363220214844,25.44957007528305,8624885,-1.0038633311182377,,,,68.42108556771754,,,,
